City_ID,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Temperature,Wind Speed
135,palaia fokaia,20,GR,1591217224,77,37.72,23.95,68.0,65.28,1.12
136,deputatskiy,100,RU,1591217224,77,69.3,139.9,38.62,38.62,4.7
137,port lincoln,99,AU,1591217142,78,-34.73,135.87,52.77,52.77,8.88
138,placido de castro,99,BR,1591217224,83,-10.34,-67.19,75.96,75.96,3.06
139,wasilla,1,US,1591217095,36,61.58,-149.44,60.8,59.74,4.7
140,kashi,81,CN,1591217224,27,39.45,75.98,77.0,77.0,11.18
141,dongli,40,CN,1591217224,100,23.57,116.82,78.8,78.8,5.26
142,new norfolk,8,AU,1591217225,77,-42.78,147.06,44.01,38.98,3.78
143,simpang,100,ID,1591217225,97,-1.27,104.08,74.3,74.3,3.31
144,rimbey,75,CA,1591216984,29,52.63,-114.24,60.8,58.17,20.8
145,nemuro,100,JP,1591216942,97,43.32,145.57,47.32,47.32,2.53
146,jambi,100,ID,1591217225,97,-1.6,103.62,73.98,73.98,2.51
147,port elizabeth,98,ZA,1591216928,93,-33.92,25.57,59.0,59.0,4.7
148,bubaque,0,GW,1591216962,76,11.28,-15.83,80.55,80.55,17.63
149,asmara,77,ER,1591217225,32,15.33,38.93,64.92,64.92,3.15
150,kirgiz-miyaki,100,RU,1591217225,87,53.63,54.8,54.46,54.46,7.29
151,tiksi,37,RU,1591217098,90,71.69,128.87,33.48,33.48,2.84
152,chokurdakh,51,RU,1591217225,65,70.63,147.92,41.45,41.45,9.22
153,wana,1,PK,1591217225,61,32.3,69.57,69.37,69.37,0.72
154,catamarca,0,AR,1591217225,53,-28.47,-65.79,57.99,54.59,3.0
155,sitka,75,US,1591217225,87,57.05,-135.33,48.2,48.2,3.36
156,kununurra,86,AU,1591217225,31,-15.77,128.73,64.4,64.4,6.93
157,owosso,1,US,1591217225,39,43.0,-84.18,84.0,82.81,11.41
158,pochutla,90,MX,1591217226,70,15.74,-96.47,84.2,84.2,11.41
159,qaanaaq,100,GL,1591217226,95,77.48,-69.36,29.89,29.89,5.55
160,camana,99,PE,1591217226,80,-16.62,-72.71,64.63,64.63,8.86
161,mount gambier,1,AU,1591216971,100,-37.83,140.77,33.8,33.8,4.7
162,souillac,75,MU,1591217226,78,-20.52,57.52,71.6,71.6,13.87
163,castro,69,BR,1591217021,96,-24.79,-50.01,58.23,58.23,4.7
164,singkang,20,MY,1591217226,83,2.1,102.8,80.6,80.31,2.24
165,ekhabi,100,RU,1591217226,97,53.51,142.97,37.38,37.38,10.13
166,bondo,100,CD,1591217226,98,3.81,23.69,69.4,69.4,3.13
167,hobyo,100,SO,1591217227,72,5.35,48.53,82.8,82.8,19.53
168,kumeny,2,RU,1591217227,78,58.11,49.92,47.12,47.12,7.65
169,faanui,0,PF,1591217227,68,-16.48,-151.75,79.68,79.68,6.15
170,quatre cocos,75,MU,1591216944,78,-20.21,57.76,73.0,72.34,13.87
171,baykit,100,RU,1591217169,79,61.67,96.37,49.89,49.89,2.53
172,osorno,0,CL,1591217227,71,-40.57,-73.15,53.6,53.6,3.36
173,athens,20,GR,1591217227,88,37.98,23.72,68.0,65.23,1.97
174,vanimo,100,PG,1591217224,84,-2.67,141.3,78.37,78.37,4.76
175,makakilo city,75,US,1591217040,61,21.35,-158.09,86.0,84.83,11.41
176,bethel,20,US,1591217227,73,41.37,-73.41,77.0,75.02,9.17
177,gunnedah,0,AU,1591217004,90,-30.98,150.25,33.8,33.8,3.36
178,kaitangata,100,NZ,1591217119,88,-46.28,169.85,46.0,46.0,17.0
179,southbridge,100,US,1591217018,67,42.08,-72.03,77.0,75.69,3.0
180,dawson,20,US,1591217227,66,31.77,-84.45,86.0,83.89,3.36
181,hay river,40,CA,1591217153,56,60.82,-115.8,44.6,44.6,12.75
182,sakaiminato,75,JP,1591217228,82,35.55,133.23,64.4,64.4,3.36
183,kruisfontein,100,ZA,1591217228,93,-34.0,24.73,55.45,55.45,3.49
184,norman wells,75,CA,1591217228,43,65.28,-126.83,51.8,51.8,5.82
185,cidreira,27,BR,1591217228,78,-30.18,-50.21,61.9,61.9,9.53
186,ballina,75,AU,1591217228,62,-28.87,153.57,55.4,50.99,12.75
187,snasa,40,NO,1591217228,81,64.25,12.38,51.8,51.8,1.12
188,ketchikan,75,US,1591216941,71,55.34,-131.65,53.6,52.9,12.75
189,college,75,US,1591217228,76,64.86,-147.8,57.99,54.52,8.05
190,canutama,55,BR,1591217228,84,-6.53,-64.38,82.51,82.51,2.3
191,nhulunbuy,2,AU,1591217228,66,-12.23,136.77,76.06,76.06,14.32
192,tenno,0,JP,1591217228,69,39.9,139.97,62.69,62.69,7.52
193,wuda,0,CN,1591217228,18,39.5,106.71,70.21,70.21,1.88
194,takoradi,0,GH,1591217228,85,4.88,-1.76,80.02,80.02,8.43
195,sola,100,VU,1591217228,82,-13.88,167.55,81.05,81.05,11.23
196,orlik,7,RU,1591217228,77,52.52,99.83,38.79,38.79,3.85
197,arman,0,RU,1591217229,60,59.7,150.17,49.08,49.08,2.46
198,pincher creek,1,CA,1591217229,29,49.48,-113.95,64.0,62.6,18.34
199,lucea,20,JM,1591217146,70,18.45,-78.17,87.8,86.86,25.28
200,japura,97,ID,1591217228,97,-0.32,102.35,75.09,75.09,4.29
201,flinders,27,AU,1591217229,61,-34.58,150.86,54.0,54.0,5.99
202,martapura,59,ID,1591217229,94,-3.42,114.85,74.5,74.5,2.04
203,san pedro,20,PH,1591217229,79,14.35,121.02,84.99,84.02,1.12
204,khasan,92,RU,1591217229,92,42.43,130.64,55.06,55.06,4.0
205,bergen,75,NO,1591217229,87,60.39,5.33,53.01,51.46,5.82
206,fortuna,1,US,1591217229,87,40.6,-124.16,64.99,61.25,14.99
207,den helder,90,NL,1591217229,76,52.96,4.76,60.01,57.92,11.41
208,cabo san lucas,5,MX,1591217200,48,22.89,-109.91,93.2,88.86,24.16
209,ojinaga,1,MX,1591217229,17,29.57,-104.42,100.4,100.4,6.93
210,faya,12,SA,1591217229,25,18.39,42.45,78.8,77.9,11.41
211,severnoye,87,RU,1591217230,88,56.35,78.36,39.0,39.0,5.3
212,karksi-nuia,20,EE,1591217230,97,58.1,25.56,47.32,47.32,5.19
213,richards bay,34,ZA,1591217230,84,-28.78,32.04,68.27,68.27,7.58
214,tura,100,IN,1591217230,96,25.52,90.22,73.38,73.38,6.78
215,lebu,0,CL,1591217230,75,-37.62,-73.65,53.13,53.13,12.3
216,salym,0,RU,1591217230,87,60.06,71.48,35.55,35.55,6.02
217,portales,75,US,1591217230,25,34.19,-103.33,91.99,90.81,12.75
218,reconquista,0,AR,1591217230,75,-29.15,-59.65,56.19,56.19,7.96
219,evanston,75,US,1591217230,45,42.04,-87.69,84.99,83.5,5.14
220,coihaique,60,CL,1591217230,33,-45.58,-72.07,44.6,44.6,6.93
221,smidovich,100,RU,1591217230,93,48.6,133.82,49.19,49.19,17.36
222,lompoc,1,US,1591217230,53,34.64,-120.46,81.0,76.08,16.11
223,gizo,92,SB,1591217143,71,-8.1,156.84,83.95,83.95,6.85
224,tuatapere,100,NZ,1591217230,86,-46.13,167.68,44.83,44.83,8.48
225,rawson,3,AR,1591217196,45,-43.3,-65.1,50.86,50.86,22.15
226,constitucion,8,CL,1591217147,77,-35.33,-72.42,54.39,54.39,5.86
227,ribeira grande,40,PT,1591217231,72,38.52,-28.7,64.4,64.4,21.92
228,mazara del vallo,15,IT,1591217231,82,37.66,12.59,68.0,63.52,5.82
229,lagoa,0,PT,1591217231,79,39.05,-27.98,62.64,62.64,23.67
230,port hueneme,40,US,1591217068,68,34.15,-119.2,82.4,72.25,11.41
231,petropavlovka,92,RU,1591217130,69,50.61,105.32,51.26,51.26,4.07
232,inirida,99,CO,1591217231,84,3.87,-67.92,82.85,82.85,2.15
233,rocha,92,UY,1591217066,85,-34.48,-54.33,47.25,47.25,3.8
234,jalu,0,LY,1591217169,31,29.03,21.55,74.62,74.62,15.3
235,manzhouli,95,CN,1591217231,64,49.6,117.43,53.17,53.17,4.38
236,asyut,24,EG,1591217231,27,27.18,31.18,83.89,83.89,7.0
237,rameswaram,100,IN,1591217231,82,9.28,79.3,84.02,84.02,27.72
238,colares,20,PT,1591217231,82,38.8,-9.45,69.01,66.67,5.82
239,camabatela,66,AO,1591217232,84,-8.19,15.38,66.16,66.16,2.64
240,cockburn town,0,TC,1591217232,78,21.46,-71.14,82.13,82.13,15.48
241,churapcha,0,RU,1591217232,58,62.0,132.43,55.69,55.69,5.21
242,masuguru,11,TZ,1591217232,66,-11.37,38.42,68.47,68.47,1.21
243,santa cruz,75,BO,1591217104,87,-17.8,-63.17,60.8,60.8,13.87
244,abha,35,SA,1591217232,25,18.22,42.51,78.8,77.85,11.41
245,kano,55,NG,1591217232,41,12.0,8.52,93.2,93.2,9.17
246,te anau,100,NZ,1591216978,87,-45.42,167.72,45.16,45.16,7.92
247,caucaia,20,BR,1591217232,66,-3.74,-38.65,84.2,83.59,12.75
248,koulikoro,100,ML,1591217232,25,14.0,-7.75,95.94,95.94,8.28
249,ahuimanu,40,US,1591217232,62,21.44,-157.84,86.0,84.78,10.29
250,choix,9,MX,1591217164,23,26.71,-108.32,105.73,105.73,9.4
251,matadi,3,CD,1591217233,88,-5.82,13.45,75.49,75.49,2.37
252,celestun,100,MX,1591217233,87,20.87,-90.4,79.03,79.03,19.46
253,praia da vitoria,75,PT,1591217233,88,38.73,-27.07,62.6,62.6,22.55
254,bonthe,96,SL,1591217233,85,7.53,-12.51,80.47,80.47,5.5
255,lamu,97,KE,1591217233,80,-2.27,40.9,79.16,79.16,16.98
